92.00000	45.00000	27.00000	31.00000	0.00000	1.00000
64.00000	59.00000	32.00000	23.00000	0.00000	2.00000
54.00000	33.00000	16.00000	54.00000	0.00000	2.00000
78.00000	34.00000	24.00000	36.00000	0.00000	2.00000
70.00000	12.00000	28.00000	10.00000	0.00000	2.00000
55.00000	13.00000	17.00000	17.00000	0.00000	2.00000
62.00000	20.00000	17.00000	9.00000	0.50000	1.00000
67.00000	21.00000	11.00000	11.00000	0.50000	1.00000
54.00000	22.00000	20.00000	7.00000	0.50000	1.00000
60.00000	25.00000	19.00000	5.00000	0.50000	1.00000
52.00000	13.00000	24.00000	15.00000	0.50000	1.00000
62.00000	17.00000	17.00000	15.00000	0.50000	1.00000
64.00000	61.00000	32.00000	13.00000	0.50000	1.00000
77.00000	25.00000	19.00000	18.00000	0.50000	1.00000
67.00000	29.00000	20.00000	11.00000	0.50000	1.00000
78.00000	20.00000	31.00000	18.00000	0.50000	1.00000
67.00000	23.00000	16.00000	10.00000	0.50000	1.00000
79.00000	17.00000	17.00000	16.00000	0.50000	1.00000
107.00000	20.00000	20.00000	56.00000	0.50000	1.00000
116.00000	11.00000	33.00000	11.00000	0.50000	1.00000
